l(h)
1.0
1.0816
1.1633
1.2449
1.3265
1.4082
1.4898
1.5714
1.6531
1.7347
1.8163
1.898
1.9796
2.0612
2.1429
2.2245
2.3061
2.3878
2.4694
2.551
2.6327
2.7143
2.7959
2.8776
2.9592
3.0408
3.1224
3.2041
3.2857
3.3673
3.449
3.5306
3.6122
3.6939
3.7755
3.8571
3.9388
4.0204
4.102
4.1837
4.2653
4.3469
4.4286
4.5102
4.5918
4.6735
4.7551
4.8367
4.9184
5.0
