l(m)
0.05
0.055102
0.060204
0.065306
0.070408
0.07551
0.080612
0.085714
0.090816
0.095918
0.10102
0.10612
0.11122
0.11633
0.12143
0.12653
0.13163
0.13673
0.14184
0.14694
0.15204
0.15714
0.16224
0.16735
0.17245
0.17755
0.18265
0.18776
0.19286
0.19796
0.20306
0.20816
0.21327
0.21837
0.22347
0.22857
0.23367
0.23878
0.24388
0.24898
0.25408
0.25918
0.26429
0.26939
0.27449
0.27959
0.28469
0.2898
0.2949
0.3
