l(h)
1.0
1.082
1.163
1.245
1.327
1.408
1.49
1.571
1.653
1.735
1.816
1.898
1.98
2.061
2.143
2.224
2.306
2.388
2.469
2.551
2.633
2.714
2.796
2.878
2.959
3.041
3.122
3.204
3.286
3.367
3.449
3.531
3.612
3.694
3.776
3.857
3.939
4.02
4.102
4.184
4.265
4.347
4.429
4.51
4.592
4.673
4.755
4.837
4.918
5.0
