l(h)
1.0
1.0408
1.0816
1.1224
1.1633
1.2041
1.2449
1.2857
1.3265
1.3673
1.4082
1.449
1.4898
1.5306
1.5714
1.6122
1.6531
1.6939
1.7347
1.7755
1.8163
1.8571
1.898
1.9388
1.9796
2.0204
2.0612
2.102
2.1429
2.1837
2.2245
2.2653
2.3061
2.3469
2.3878
2.4286
2.4694
2.5102
2.551
2.5918
2.6327
2.6735
2.7143
2.7551
2.7959
2.8367
2.8776
2.9184
2.9592
3.0
